#/////////////////////////////////////,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# -----START OF METADATA -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# TITLE: Brief title for entire data set,"Species richness of stoneflies (Insecta: Plecoptera), with an emphasis on the Appalachian region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE: date of creation of data set,15-Sep-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR: author/owner of data,Phillip Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR EMAIL:,pnhogan2@illinois.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR ADDRESS:,https://orcid.org/0000-0002-6546-272X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AUTHOR WEBSITE: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# OWNERSHIP: Information on who owns/controls the data ,Phillip Hogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLLABORATORS: One or more lines identifying others who collected/own data,Scott Grubbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FUNDING SOURCES: Grant numbers or funding sources for acknowlegment,Western Kentucky University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# REPOSITORY: One or more lines for GitHub, Dryad, or permanent web repositories where data set can be accessed",https://datadryad.org/stash/dataset/doi:10.5061/dryad.hdr7sqvmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CITATIONS: One or more lines for publications that cite or use these data,"Hogan, Phillip; Grubbs, Scott (2022). Data from: Distributional trends and species richness of Maryland, USA stoneflies (Insecta: Plecoptera), with an emphasis on the Appalachian region [Dataset]. Dryad. https://doi.org/10.5061/dryad.hdr7sqvmg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SAMPLING LOCATIONS: One or more lines about where data were collected; GPS for individual sites should be data columns,"Appalachian Region, Maryland (USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SAMPLING TIMES: One more lines on when data were collected,1990's and 2020-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# VARIABLE DESCRIPTION: One line for each column in the data set stating what it is and what the units of measurement are,Type: What kind of collection this individual was,kingdom,phylum,class,order,family,genus,specificEpithet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MISSING DATA: One or more lines for each variable describing the source of NA values throughout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATA TRACK CHANGES LOG (use this section to record any changes to the data set after it is created),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DATE:              # CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DATE:              #CHANGES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----- END OF METADATA -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#/////////////////////////////////////,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----- START OF DATA -----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Type,ownerInstitutionCode,catalogNumber,kingdom,phylum,class,order,family,genus,specificEpithet,scientificNameAuthorship,vernacularName,taxonomicStatus,taxonRank,typeStatus,identifiedBy,dateIdentified,eventDate,month,day,year,preparation,recordedBy,fieldNumber,habitat,basisOfRecord,adultMale,adultFemale,immatureNymph,1uvium,individualCount,sex,lifeStage,country,countryCode,stateProvince,county,waterBody,locality,coordinateUncertaintyInMeters,geodeticDatum,georeferencedBy,georeferenceSources,datasetName,accessRights,notes,elevation_m,decimalLongitude,decimalLatitude
32,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/23/1996,3,23,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,1,0,0,17,"male, female, ",adult,USA,US,Maryland,Allegany,Deep Run,Fifteenmile Creek Rd.,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,222,-78.45234,39.65312
33,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/18/1995,2,18,1995,vial,S.A. Grubbs,,stream,PreservedSpecimen,14,4,0,0,18,"male, female, ",adult,USA,US,Maryland,Allegany,Fifteenmile Creek,"Fifteenmile Creek Rd., 0.3 mi N I-68",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,218,-78.4574,39.67852
34,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/16/1996,3,16,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,45,11,0,0,28,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Rte. 144, 1.8 mi W I-68",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,242,-78.48054,39.67984
35,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/24/1996,2,24,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,2,0,0,32,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek",Rte. 144,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,232,-78.4696,39.67727
36,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/16/1996,3,16,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,0,0,0,56,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Davis Rd., Little Pine Lick Hollow, 0.7 mi NW Rte. 144",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,239,-78.47307,39.68344
37,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/16/1996,3,16,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,6,0,0,0,115,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Fifteenmile Creek","Fifteenmile Creek Rd., 0.7 mi N U.S. 40, along Pine Lick Hollow Segment Trail",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,229,-78.45213,39.69319
38,Collection,INHS,Plecoptera 8620,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,,NA,2/13/1938,2,13,1938,Vial,R.E. Yeatter,,,,1,0,0,0,1,,,USA,US,Maryland,Garrett,Shade Run,Grantsville,10000,,,,Maryland Plecoptera Project,No restrictions,,709,-79.15139,39.695
39,Literature,"Literature (Frison, 1942)",,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1943",Peculiar Snowfly,accepted,species,not type,,NA,2/13/1938,2,13,1938,,R.E. Yeatter,,stream,PreservedSpecimen,0,0,0,0,1,male,adult,USA,US,Maryland,Garrett,Shade Run,"Grantsville, Shade Run",100,WGS84,P.N. Hogan,Acme.mapper 2.2,Maryland Plecoptera Project,No restrictions,,672,-79.17319,39.69553
40,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/11/1995,3,11,1995,vial,S.A. Grubbs,,stream,PreservedSpecimen,5,0,0,0,1,male,adult,USA,US,Maryland,Garrett,Poplar Lick Run,,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,662,-79.14648,39.60688
41,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,4/14/1996,4,14,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,1,0,0,1,female ,adult,USA,US,Maryland,Garrett,Poplar Lick Run,"Poplar Lick ORV Trail, 0.2 mi SE New Germany Rd.",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,681,-79.14947,39.61244
42,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/19/1995,2,19,1995,vial,S.A. Grubbs,,stream,PreservedSpecimen,5,2,0,0,1,female ,adult,USA,US,Maryland,Garrett,Savage River,immediately upstream Savage River Reservoir,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,446,-79.13746,39.54298
43,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/19/1996,2,19,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,0,0,0,1,male,adult,USA,US,Maryland,Garrett,seep into Elk Lick Run,"Westernport Rd., 1.7 mi upstream Savage River confluence",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,627,-79.10493,39.61025
44,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/6/1997,3,6,1997,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,1,0,0,1,female ,adult,USA,US,Maryland,Garrett,"tributary, Little Bear Creek","nr. Rabbit Hollow Rd., 0.7 mi S U.S. 210",1000,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,673,-79.27608,39.65897
45,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/16/1996,3,16,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,23,5,0,0,6,male,adult,USA,US,Maryland,Garrett,Glade Run,"Gorman-Steyer Rd., 1.3 mi NE Rte. 560",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,707,-79.32553,39.30237
46,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/19/1995,2,19,1995,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,1,0,0,7,"male, female, ",adult,USA,US,Maryland,Garrett,Poplar Lick Run,,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,662,-79.14648,39.60688
47,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,1/18/1995,1,18,1995,vial,S.A. Grubbs,,stream,PreservedSpecimen,16,0,0,0,16,male,adult,USA,US,Maryland,Garrett,Poplar Lick Run,,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,662,-79.14648,39.60688
48,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,curiosa,"Frison, 1942",Peculiar Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/17/1995,2,17,1995,vial,S.A. Grubbs,,stream,PreservedSpecimen,15,3,0,0,18,"male, female, ",adult,USA,US,Maryland,Garrett,Savage River,immediately upstream Savage River Reservoir,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,446,-79.13746,39.54298
49,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/24/1996,3,24,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,6,0,0,19,"male, female, ",adult,USA,US,Maryland,Allegany,Hill Run,Steel Rd.,1000,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,656,-78.95163,39.55848
50,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/24/1996,3,24,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,2,0,0,20,"male, female, ",adult,USA,US,Maryland,Allegany,"tributary, Hill Run",Steel Rd.,1000,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,656,-78.95163,39.55848
51,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/14/2020,3,14,2020,vial,P.N. Hogan,PNH-088-20,stream,Preservedspecimen,3,8,0,0,11,"male, female",adult,USA,US,Maryland,Garrett,tributary to Dry Run,"Dry Run Rd., 0.2 miles west of Savage River Rd., Savage River State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,557,-79.15286,39.52425
52,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/16/2020,3,16,2020,vial,P.N. Hogan,PNH-094-20,stream,Preservedspecimen,0,2,0,0,2,female,adult,USA,US,Maryland,Garrett,Dry Run,"bridge on Savage River Rd., Savage River State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,453,-79.14471,39.5231
53,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/19/2020,3,19,2020,vial,P.N. Hogan,PNH-118-20,stream,Preservedspecimen,6,45,0,0,51,"male, female",adult,USA,US,Maryland,Garrett,tributary to Dry Run,"Dry Run Rd., 0.2 mi W of Savage River Rd., Savage River State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,620,-79.15605,39.52444
54,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/20/2020,3,20,2020,vial,P.N. Hogan,PNH-128-20,stream,Preservedspecimen,1,6,0,0,7,"male, female",adult,USA,US,Maryland,Garrett,Middle Fork Crabtree Creek,Savage River State Forest,10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,472,-79.16084,39.51222
55,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/20/2020,3,20,2020,vial,P.N. Hogan,PNH-129-20,stream,Preservedspecimen,4,14,0,0,18,"male, female",adult,USA,US,Maryland,Garrett,tributary to Middle Fork Crabtree Creek,"first tributary to Middlefork Crabtree Creek heading west on south side, 200 m up tributary, Savage River State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,607,-79.17018,39.50871
56,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/20/2020,3,20,2020,vial,P.N. Hogan,PNH-130-20,stream,Preservedspecimen,0,1,0,0,1,female,adult,USA,US,Maryland,Garrett,Middle Fork Crabtree Creek,Savage River State Forest,10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,488,-79.16692,39.51436
57,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,4/24/2020,4,24,2020,vial,P.N. Hogan,PNH-154-20,stream,Preservedspecimen,0,1,0,0,1,female,adult,USA,US,Maryland,Garrett,tributary to Middle Fork Crabtree Creek,Savage River State Forest,10,WGS 84,P.N. Hogan,GPS+GLONASS,Maryland Plecoptera Project,No Restrictions,,711,-79.17893,39.54655
58,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/16/2020,3,16,2020,vial,P.N. Hogan,PNH-096-20,stream,Preservedspecimen,1,0,0,0,1,male,adult,USA,US,Maryland,Garrett,tributary to Savage River,"stream between Bear Pen Run and Poplar Lick Run, Savage River State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,516,-79.09833,39.57873
59,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/16/2020,3,16,2020,vial,P.N. Hogan,PNH-102-20,stream,Preservedspecimen,1,0,0,0,1,male,adult,USA,US,Maryland,Garrett,Casselman River,"Historic Casselman River Bridge, Casselman River Bridge State Park",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,642,-79.14364,39.69678
60,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/19/2020,3,19,2020,vial,P.N. Hogan,PNH-119-20,stream,Preservedspecimen,1,3,0,0,4,"male, female",adult,USA,US,Maryland,Garrett,tributary to Big Run,"Big Run Rd., Savage River State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,633,-79.16755,39.57381
61,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,4/29/2020,4,29,2020,vial,P.N. Hogan,PNH-180-20,stream,Preservedspecimen,0,1,0,0,1,female,adult,USA,US,Maryland,Garrett,tributary to Monroe Run,"Monroe Run Hiking Trail, Savage River State Forest",10,WGS 84,P.N. Hogan,GPS+GLONASS,Maryland Plecoptera Project,No Restrictions,,560,-79.17664,39.55716
62,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/19/2020,3,19,2020,vial,P.N. Hogan,PNH-113-20,stream,Preservedspecimen,1,7,0,0,8,"male, female",adult,USA,US,Maryland,Garrett,Bluelick Run,"Bluelick Rd., just after state boundary heading east from Avilton-Lonaconing Rd., Savage River State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,710,-79.07528,39.65172
63,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/19/2020,3,19,2020,vial,P.N. Hogan,PNH-115-20,stream,Preservedspecimen,0,1,0,0,1,female,adult,USA,US,Maryland,Garrett,tributary to Bluelick Run,"following camping trail back 100 ft from stream crossing under bridge, Savage River State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,662,-79.05898,39.64102
64,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,P.N. Hogan,2020,3/19/2020,3,19,2020,vial,P.N. Hogan,PNH-117-20,stream,Preservedspecimen,0,2,0,0,2,female,adult,USA,US,Maryland,Garrett,Warnick Run,"upstream from confluence with Savage River, Savage River State Forest",10,WGS 84,P.N. Hogan,Google Earth,Maryland Plecoptera Project,No Restrictions,,635,-79.07384,39.58774
65,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/18/1996,3,18,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,3,38,0,0,1,female ,adult,USA,US,Maryland,Garrett,Bear Pen Run,Savage River Rd.,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,477,-79.11157,39.56282
66,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/16/1996,2,16,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,1,0,0,1,female ,adult,USA,US,Maryland,Garrett,Blacklick Run,,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,572,-79.08266,39.60979
67,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,1/2/1997,1,2,1997,vial,S.A. Grubbs,,stream,PreservedSpecimen,0,1,0,0,1,female ,adult,USA,US,Maryland,Garrett,Blacklick Run,,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,572,-79.08266,39.60979
68,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/2/1996,3,2,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,0,0,0,1,male,adult,USA,US,Maryland,Garrett,Little Savage River,Avilton-Lonaconing Rd.,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,789,-79.02537,39.6151
69,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,2/19/1996,2,19,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,8,3,0,0,1,female ,adult,USA,US,Maryland,Garrett,seep into Elk Lick Run,"Westernport Rd., 1.7 mi upstream Savage River confluence",10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,627,-79.10493,39.61025
70,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,4/15/1996,4,15,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,0,0,0,1,male,adult,USA,US,Maryland,Garrett,spring into spring into Savage River,0.7 mi downstream confluence with Poplar Lick Run,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,508,-79.09752,39.57844
71,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,4/15/1996,4,15,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,0,0,0,1,male,adult,USA,US,Maryland,Garrett,"spring, Bluelick Run",1.4 mi SE Lower New Germany Rd.,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,687,-79.06642,39.64695
72,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/8/1997,3,8,1997,vial,S.A. Grubbs,,stream,PreservedSpecimen,4,13,0,0,1,female ,adult,USA,US,Maryland,Garrett,"spring, Riley's Spring Branch, Laurel Run","Audley-Riley Rd., 0.2 mi SE Laurel Run Rd.",10,WGS84,P.N. Hogan,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,792,-79.29669,39.33956
73,Collection,WKUC,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,Allocapnia,frisoni,"Ross & Ricker, 1964",Evansville Snowfly,accepted,species,not type,S.A. Grubbs,NA,3/2/1996,3,2,1996,vial,S.A. Grubbs,,stream,PreservedSpecimen,1,0,0,0,1,male,adult,USA,US,Maryland,Garrett,Swamp Run,Swamp Rd.,10,WGS84,S.A. Grubbs,mapper.acme.com,Maryland Plecoptera Project,No Restrictions,,773,-79.06498,39.57884
